Id,Label,Publication,V,P,DOI,Title,Publication_Year,Document_Type,WoS_ID,Citation_context,Explanans,Explanadum,Combined_Title_Classification,Serum_cholesterol _(SC),Blood_Pressure_(BP),Coffee_(C) ,Diet_(D),Smoking_(S),Alcohol_(A),Physical_Activity_(PA),Body_Fatness_(BF),Indegree,Outdegree,Main_component,Cluster,Cluster_Name
89,VANBUCHEM FS, ACTA MED SCAND, V181, P403,,SERUM LIPIDS NUTRITION AND ATHEROSCLEROTIC COMPLICATIONS IN MAN,1967,Article,WOS:A19679303400003,Yes,DIET,BLOOD LIPIDS|CHD,DIET|BLOOD LIPIDS,,,,D,,,,,3,1,Yes,0,Serum cholesterol and Unspecified CHD 
90,YUDKIN J, AM J CLIN NUTR, V20, P108,,EVOLUTIONARY AND HISTORICAL CHANGES IN DIETARY CARBOHYDRATES,1967,Meeting Abstract,WOS:A19678949600006,Yes,DIET,UNSPECIFIED,DIET,,,C,D,,,,,2,4,Yes,2,Caffeine 
91,BELLET S, AM J CARDIOL, V19, P783, 10.1016/0002-9149(67)90499-7,DETECTION OF CORNOARY-PRONE SUBJECTS IN A NORMAL POPULATION BY RADIOELECTROCARDIOGRAPHIC EXERCISE TEST - FOLLOW-UP STUDIES,1967,Article,WOS:A19679427200003,Yes,ECG,CHD,Unspecified CHD,SC,BP,,,S,,,BF,1,3,Yes,1,Blood pressure and Unspecified CHD 
92,FRIEDMAN GD, J CHRON DIS, V20, P769, 10.1016/0021-9681(67)90089-6,CIGARETTE SMOKING AND GEOGRAPHIC VARATION IN CORONARY HEART DISEASE MORTALITY IN UNITED STATES,1967,Article,WOS:A1967A548500002,Yes,SMOKING,CHD,SMOKING,,,,,S,,,,1,2,Yes,1,Blood pressure and Unspecified CHD 
93,[ANONYMOUS], J AMER MED ASSOC, V200, P885,,COFFEE-BREAK CANTATA,1967,Editorial Material,WOS:A19679413400020,Yes,CAFFEINE,UNSPECIFIED,CAFFEINE,,,C,,,,,,0,2,Yes,2,Caffeine 
94,BELLET S, AM J MED SCI, V254, P398,,EXERCISE TEST IN HYPERTENSIVE SUBJECTS STUDIED BY RADIOELECTROCARDIOGRAPHY,1967,Article,WOS:A1967A061700003,Yes,ECG,HYPERTENSION,HYPERTENSION,SC,BP,,,,,,,0,2,Yes,1,Blood pressure and Unspecified CHD 
95,MAYER J, T NEW YORK ACAD SCI, V29, P1014, 10.1111/J.2164-0947.1967.TB02440.X,NUTRITION AND CIVILIZATION,1967,Article,WOS:A1967A351900003,Yes,DIET,UNSPECIFIED,DIET,SC,,,,,,,,0,2,Yes,3,Diet 
96,MCDONOUGH JR, AM J EPIDEMIOL, V85, P356, 10.1093/OXFORDJOURNALS.AJE.A120697,INFLUENCE OF RACE SEX AND OCCUPATION ON SEASONAL CHANGES IN SERUM CHOLESTEROL,1967,Article,WOS:A19679563100002,Yes,ETHNICITY|SEX|PSYCHOSOCIAL,BLOOD LIPIDS,PSYCHOSOCIAL|BLOOD LIPIDS,,,,,,,PA,,0,2,Yes,3,Diet 
97,PETERS JM, J CLIN PHARMACOL N D, V7, P131, 10.1002/J.1552-4604.1967.TB00034.X,FACTORS AFFECTING CAFFEINE TOXICITY - A REVIEW OF LITERATURE,1967,Review,WOS:A19679381800003,Yes,CAFFEINE,UNSPECIFIED,CAFFEINE,,,C,,,,,,0,2,Yes,2,Caffeine 
98,RYAN WG, DIABETES, V16, P171, 10.2337/DIAB.16.3.171,INTRAVENOUS GLUCOSE TOLERANCE TEST IN AN INDUSTRIAL POPULATION - CONTROLS SUBJECTS WITH CORONARY HEART DISEASE AND RELATIVES OF DIABETICS,1967,Article,WOS:A19679089000006,Yes,BLOOD GLUCOSE,CHD,Unspecified CHD,,,,,,,,,0,2,Yes,1,Blood pressure and Unspecified CHD 
99,TSAI HC, AM J EPIDEMIOL, V86, P253, 10.1093/OXFORDJOURNALS.AJE.A120730,CORONARY HEART DISEASE AND HYPERTENSION IN TAIWAN ABORIGINES,1967,Article,WOS:A19679711300021,Yes,UNSPECIFIED,CHD|HYPERTENSION,HYPERTENSION,SC,BP,,,,,,,0,2,Yes,0,Serum cholesterol and Unspecified CHD 
100,VANBUCHEM FS, ARCH KREISLAUFFORSCH, V54, P140, 10.1007/BF02120024,PATHOGENESIS OF ATHEROSCLEROTIC COMPLICATIONS IN MAN,1967,Article,WOS:A1967A224900006,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,S,,,,0,3,Yes,5,Physical activity 
101,TIBBLIN G, ACTA MED SCAND, VS, P5,,HIGH BLOOD PRESSURE IN MEN AGED 50 - A POPULATION STUDY OF MEN BORN IN 1913,1967,Article,WOS:A19679752200001,Inaccessible,,,,,,,,,,,,11,3,Yes,1,Blood pressure and Unspecified CHD 
102,BROWE JH, J AM DIET ASSOC, V50, P376,,DIET AND HEART DISEASE IN CARDIOVASCULAR HEALTH CENTER .3. DIETARY INTAKE AND PHYSICAL ACTIVITY OF MALE CIVIL SERVICE EMPLOYEES,1967,Article,WOS:A19679262000004,Inaccessible,,,,,,,,,,,,8,1,Yes,3,Diet 
103,MULCAHY R, GERIATRICS, V22, P165,,ROLE OF CIGARETTE SMOKING IN CAUSATION OF ATHEROSCLEROSIS,1967,Article,WOS:A19678874100016,Inaccessible,,,,,,,,,,,,1,1,Yes,0,Serum cholesterol and Unspecified CHD 
104,YUDKIN J, PRACTITIONER, V198, P680,,SUGAR AND ISCHAEMIC HEART DISEASE,1967,Article,WOS:A19679310600010,Inaccessible,,,,,,,,,,,,0,2,Yes,2,Caffeine 
105,STRUBELT O, ARZNEI-FORSCHUNG, V18, P1278,,PARTICIPATION OF ENDOGENOUS CATECHOLAMINES IN EFFECT OF COFFEE ON ENERGY BALANCE AND HEART RATE,1968,Article,WOS:A1968C000400007,Foreign,,,,,,,,,,,,0,5,Yes,2,Caffeine 
106,WILSON JMG, B OFIC SANIT PANAM, V65, P281,,PRINCIPLES AND PRACTICE OF SCREENING FOR DISEASE,1968,Article,WOS:A1968C142300001,Yes,METHOD,UNSPECIFIED,,,,,,,,,BF,0,4,Yes,1,Blood pressure and Unspecified CHD 
107,THOMAS CB, JOHNS HOPKINS MED J, V122, P196,,PRECURSORS OF HYPERTENSION AND CORONARY DISEASE AMONG HEALTHY MEDICAL STUDENTS - DISCRIMINANT FUNCTION ANALYSIS .4. USING CERTAIN HABITS OF DAILY LIFE (SLEEPING EATING DRINKING STUDYING AND EXERCISE) AS CRITERIA,1968,Article,WOS:A1968A891400004,Inaccessible,,,,,,,,,,,,3,5,Yes,7,Psychosocial
108,PAUL O, LANCET, V2, P1049,,SUCROSE INTAKE AND CORONARY HEART-DISEASE,1968,Article,WOS:A1968C121400002,Yes,DIET,CHD,DIET,SC,BP,C,D,S,,,,14,3,Yes,2,Caffeine 
109,BELLET S, METABOLISM, V17, P702, 10.1016/0026-0495(68)90054-1,RESPONSE OF FREE FATTY ACIDS TO COFFEE AND CAFFEINE,1968,Article,WOS:A1968B703800005,Yes,CAFFEINE,BLOOD LIPIDS,CAFFEINE|BLOOD LIPIDS,,,C,,,,,,8,3,Yes,2,Caffeine 
110,DEMING QB, B NEW YORK ACAD MED, V44, P968,,BLOOD PRESSURE - ITS RELATION TO ATHEROSCLEROTIC DISEASE OF CORONARIES,1968,Article,WOS:A1968B567000005,Yes,HYPERTENSION,CHD,HYPERTENSION,,BP,,,,,,,5,2,Yes,1,Blood pressure and Unspecified CHD 
111,STAMLER J, B NEW YORK ACAD MED, V44, P1476,,CIGARETTE SMOKING AND ATHEROSCLEROTIC CORONARY HEART DISEASE,1968,Meeting Abstract,WOS:A1968C162400002,Yes,SMOKING,CHD,SMOKING,,,,,S,,,,4,1,Yes,5,Physical activity 
112,BELLET S, ARCH ENVIRON HEALTH, V17, P803, 10.1080/00039896.1968.10665322,EFFECT OF COLA DRINKS ON SERUM FREE FATTY ACIDS,1968,Article,WOS:A1968C091100019,Yes,CAFFEINE,BLOOD LIPIDS,CAFFEINE|BLOOD LIPIDS,,,C,,,,,,3,4,Yes,2,Caffeine 
113,ANTONOVSKY A, J CHRON DIS, V21, P65, 10.1016/0021-9681(68)90098-2,SOCIAL CLASS AND MAJOR CARDIOVASCULAR DISEASES,1968,Article,WOS:A1968B187900003,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,,,,,PA,,2,1,Yes,7,Psychosocial
114,IBRAHIM MA, ARCH ENVIRON HEALTH, V16, P235, 10.1080/00039896.1968.10665049,CORONARY HEART DISEASE - SCREENING BY FAMILIAL AGGREGATION,1968,Article,WOS:A1968A627600014,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,S,,,BF,2,2,Yes,0,Serum cholesterol and Unspecified CHD 
115,HATCH FT, CALIF MED, V109, P134,,ATHEROSCLEROSIS CALLS FOR A NEW KIND OF PREVENTIVE MEDICINE,1968,Review,WOS:A1968B685800006,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,S,,,,1,7,Yes,1,Blood pressure and Unspecified CHD 
116,MEADE TW, BRIT MED J, V3, P701, 10.1136/BMJ.3.5620.701,RECENT HISTORY OF ISCHAEMIC HEART DISEASE AND DUODENAL ULCER IN DOCTORS,1968,Article,WOS:A1968B787800008,Yes,DUODENAL ULCER,CHD,Unspecified CHD,,,,,S,,,,1,1,Yes,5,Physical activity 
117,OSTRANDER LD, ANN INTERN MED, V68, P1072, 10.7326/0003-4819-68-5-1072,ALTERATIONS OF FACTORS PREDISPOSING TO CORONARY HEART DISEASE,1968,Article,WOS:A1968B119600014,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,,,,,1,5,Yes,1,Blood pressure and Unspecified CHD 
118,STRISOWER EH, AM J MED, V45, P488, 10.1016/0002-9343(68)90165-4,TREATMENT OF HYPERLIPIDEMIAS,1968,Article,WOS:A1968B940200002,Yes,UNSPECIFIED,BLOOD LIPIDS,BLOOD LIPIDS,SC,,,,,,,,1,3,Yes,1,Blood pressure and Unspecified CHD 
119,ALBRINK MJ, AM J CLIN NUTR, V21, P1398,,CULTURAL AND ENDOCRINE ORIGINS OF OBESITY,1968,Article,WOS:A1968C274500008,Yes,PSYCHOSOCIAL,BODY WEIGHT,PSYCHOSOCIAL|BODY WEIGHT,,,,,,,,BF,0,1,No,,
120,DOYLE JT, PUBLIC HEALTH REP, V83, P659, 10.2307/4593379,CARDIOVASCULAR SCREENING TO ASSESS RISK OF CORONARY HEART DISEASE,1968,Article,WOS:A1968ZF04000005,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,0,1,No,,
121,GRABER CD, J CHRON DIS, V21, P255, 10.1016/0021-9681(68)90062-3,BLOOD CHOLESTEROL LEVELS AUTOCHTHONOUS INTESTINAL FLORA AND CLOSTRIDIUM PERFRINGENS RECOVERY IN RHESUS MONKEYS FED A HIGH SUCROSE DIET,1968,Article,WOS:A1968B430600006,Yes,DIET,BLOOD LIPIDS,DIET|BLOOD LIPIDS,,,,D,,,,,0,2,Yes,2,Caffeine 
122,OLSEN AM, DIS CHEST, V54, P186,,RELATIONSHIP OF SMOKING TO CARDIOVASCULAR DISEASE AND PERIPHERAL VASCULAR DISEASE,1968,Meeting Abstract,WOS:A1968B728400007,Yes,SMOKING,CHD,SMOKING,,,,,S,,,,0,3,Yes,8,Smoking
123,PRINEAS RJ, BRIT HEART J, V30, P859,,ELECTROCARDIOGRAPHIC PATTERNS OF RESPIRATORY DISEASE IN A WORKING POPULATION,1968,Article,WOS:A1968C135100017,Yes,ECG,RESPIRATORY DISEASE,,,,,,,,,,0,1,No,,
124,SCHNEIDER PJ, J AMER MED ASSOC, V204, P149, 10.1001/JAMA.1968.03140150053012,EVALUATION OF STANDARD ECG LEADS FOR MASS SCANNING,1968,Note,WOS:A1968A877300012,Yes,ECG,UNSPECIFIED,,,,,,,,,,0,2,Yes,1,Blood pressure and Unspecified CHD 
125,STAMLER J, ANN NY ACAD SCI, V149, P1022, 10.1111/J.1749-6632.1968.TB53853.X,A LONG-TERM CORONARY PREVENTION EVALUATION PROGRAM,1968,Article,WOS:A1968C691200035,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,0,5,Yes,1,Blood pressure and Unspecified CHD 
126,SUMMERS CJ, J DENT RES, V47, P457, 10.1177/00220345680470031901,ASSOCIATION OF ORAL DISEASE WITH 12 SELECTED VARIABLES .I. PERIODONTAL DISEASE,1968,Article,WOS:A1968B334800018,Yes,UNSPECIFIED,ORAL DISEASE,,,,,,,,,,0,1,No,,
127,[ANONYMOUS], CIRCULATION, V37, R9,,NATIONAL DIET-HEART STUDY FINAL REPORT,1968,Article,WOS:A1968A761100001,Yes,DIET,CHD,DIET,,,,,S,,,,19,3,Yes,3,Diet 
128,THOMAS CB, JOHNS HOPKINS MED J, V122, P69,,ON CIGARETTE SMOKING CORONARY HEART DISEASE AND GENETIC HYPOTHESIS,1968,Article,WOS:A1968A723600001,Inaccessible,,,,,,,,,,,,2,6,Yes,7,Psychosocial
129,FRIEDMAN GD, ANN INTERN MED, V68, P222, 10.7326/0003-4819-68-1-222,RELATIONSHIP BETWEEN CORONARY HEART DISEASE AND GALLBLADDER DISEASE - A CRITICAL REVIEW,1968,Review,WOS:A1968A488300022,Inaccessible,,,,,,,,,,,,1,3,Yes,7,Psychosocial
130,KEYS A, JPN CIRC J, V32, P1669,,CURRENT STATUS OF RESEARCH ON EPIDEMIOLOGY OF CORONARY HEART DISEASE,1968,Article,WOS:A1968C971900003,Inaccessible,,,,,,,,,,,,1,3,Yes,0,Serum cholesterol and Unspecified CHD 
131,LAL HB, INDIAN J MED RES, V56, P1079,,A STUDY OF MYOCARDIAL INFARCTION,1968,Article,WOS:A1968B961500002,Inaccessible,,,,,,,,,,,,0,2,Yes,1,Blood pressure and Unspecified CHD 
132,MAYER J, J AM DIET ASSOC, V52, P13,,OBESITY CARDIOVASCULAR DISEASES AND DIETITIAN,1968,Article,WOS:A1968A380900001,Inaccessible,,,,,,,,,,,,0,2,Yes,3,Diet 
133,PRICHARD RW, ARCH PATHOL, V85, P204,,BUTTER EFFECTS ON WHITE CARNEAU PIGEONS - OBSERVATIONS ON SERUM CHOLESTEROL BODY WEIGHT AND AORTIC AND CORONARY ATHEROSCLEROSIS,1968,Article,WOS:A1968A529400012,Inaccessible,,,,,,,,,,,,0,1,No,,
134,FUJII J, KLIN WOCHENSCHR, V47, P927, 10.1007/BF01486272,EFFECT OF CLIMATE ON EXPERIMENTAL HYPERTENSION IN RABBITS,1969,Note,WOS:A1969E134900009,Foreign,,,,,,,,,,,,0,1,No,,
135,BASSETT DR, AM J CLIN NUTR, V22, P1504,,"DIETARY INTAKE, SMOKING HISTORY, ENERGY BALANCE, AND STRESS IN RELATION TO AGE, AND TO CORONARY HEART DISEASE RISK IN HAWAIIAN AND JAPANESE MEN IN HAWAII",1969,Article,WOS:A1969E795500013,Yes,DIET|SMOKING|PSYCHOSOCIAL,CHD,DIET|SMOKING|PSYCHO,,,C,,,,,,2,3,Yes,3,Diet 
136,CORNFIELD J, ARCH ENVIRON HEALTH, V19, P382, 10.1080/00039896.1969.10666860,SELECTED RISK FACTORS IN CORONARY DISEASE - POSSIBLE INTERVENTION EFFECTS,1969,Article,WOS:A1969E091800013,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,,,,,,,,8,3,Yes,0,Serum cholesterol and Unspecified CHD 
137,KANNEL WB, DIS CHEST, V56, P43, 10.1378/CHEST.56.1.43,BLOOD PRESSURE AND RISK OF CORONARY HEART DISEASE - FRAMINGHAM STUDY,1969,Article,WOS:A1969D605200011,Yes,HYPERTENSION,CHD,HYPERTENSION,,BP,,,,,,,8,1,Yes,1,Blood pressure and Unspecified CHD 
138,NAISMITH DJ, J NUTR, V97, P375,,INFLUENCE OF CAFFEINE-CONTAINING BEVERAGES ON GROWTH FOOD UTILIZATION AND PLASMA LIPIDS OF RAT,1969,Article,WOS:A1969C677000017,Yes,CAFFEINE,BLOOD LIPIDS,CAFFEINE|BLOOD LIPIDS,,,C,,,,,,8,8,Yes,2,Caffeine 
139,BASSETT DR, AM J CLIN NUTR, V22, P1483,,"CORONARY HEART DISEASE IN HAWAII - DIETARY INTAKE, DEPOT FAT, STRESS, SMOKING, AND ENERGY BALANCE IN HAWAIIAN AND JAPANESE MEN",1969,Article,WOS:A1969E795500012,Yes,DIET|BODY WEIGHT|SMOKING|PSYCHOSOCIAL,CHD,DIET|BODY WEIGHT|SMOKING,,,C,,,,,,6,4,Yes,3,Diet 
140,BELLET S, METABOLIS, V18, P288, 10.1016/0026-0495(69)90049-3,EFFECT OF COFFEE INGESTION ON CATECHOLAMINE RELEASE,1969,Article,WOS:A1969D105200003,Yes,CAFFEINE,NERVOUS SYSTEM,CAFFEINE,,,C,,,,,,6,5,Yes,2,Caffeine 
141,BROWN DF, AM J MED, V46, P691, 10.1016/0002-9343(69)90021-7,BLOOD LIPIDS AND LIPOPROTEINS IN ATHEROGENESIS,1969,Article,WOS:A1969D524600005,Yes,BLOOD LIPIDS,CHD,BLOOD LIPIDS,SC,,,,,,,,6,5,Yes,1,Blood pressure and Unspecified CHD 
142,HOWELL RW, BRIT MED J, V3, P145, 10.1136/BMJ.3.5663.145,DIETARY SUGAR AND ISCHAEMIC HEART DISEASE,1969,Article,WOS:A1969D679800013,Yes,DIET,CHD,DIET,SC,,,,,,,,5,6,Yes,2,Caffeine 
143,MANN GV, AM J MED, V46, P12, 10.1016/0002-9343(69)90054-0,EXERCISE TO PREVENT CORONARY HEART DISEASE - AN EXPERIMENTAL STUDY OF EFFECTS OF TRAINING ON RISK FACTORS FOR CORONARY DISEASE IN MEN,1969,Article,WOS:A1969C694800002,Yes,EXERCISE,CHD,EXERCISE,,,,,,,PA,,6,3,Yes,5,Physical activity 
144,SHEKELLE RB, J CHRON DIS, V22, P381, 10.1016/0021-9681(69)90002-2,SOCIAL STATUS AND INCIDENCE OF CORONARY HEART DISEASE,1969,Article,WOS:A1969F000400002,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,,,,,,,6,4,Yes,7,Psychosocial
145,FOX SM, AM J CARDIOL, V23, P298, 10.1016/0002-9149(69)90083-6,PHYSICAL ACTIVITY AND CORONARY HEART DISEASE .I. AND .2.,1969,Article,WOS:A1969C694700020,Yes,EXERCISE,CHD,EXERCISE,,,,,,,PA,,4,5,Yes,5,Physical activity 
146,HEYDEN S, Z ERNAHRUNGSWISS, V9, P388, 10.1007/BF02021519,DOES COFFEE INFLUENCE LIPID METABOLISM,1969,Article,WOS:A1969E505300013,Yes,CAFFEINE,BLOOD LIPIDS,CAFFEINE|BLOOD LIPIDS,,,C,,,,,,4,15,Yes,2,Caffeine 
147,DAYTON S, AM J MED, V46, P751, 10.1016/0002-9343(69)90026-6,PREVENTION OF CORONARY HEART DISEASE AND OTHER COMPLICATIONS OF ATHEROSCLEROSIS BY MODIFIED DIET,1969,Article,WOS:A1969D524600010,Yes,DIET,CHD,DIET,SC,,C,,,,,,3,6,Yes,1,Blood pressure and Unspecified CHD 
148,HEYDEN S, J CHRON DIS, V21, P677, 10.1016/0021-9681(69)90039-3,CAFFEINE EFFECTS ON CHOLESTEROL AND DEVELOPMENT OF AORTIC AND CORONARY ATHEROSCLEROSIS IN RABBITS,1969,Article,WOS:A1969C579900007,Yes,CAFFEINE,BLOOD LIPIDS|CHD,CAFFEINE|BLOOD LIPIDS,,,C,,,,,,3,5,Yes,2,Caffeine 
149,DAMON A, J CHRON DIS, V21, P781, 10.1016/0021-9681(69)90025-3,PREDICTING CORONARY HEART DISEASE FROM BODY MEASUREMENTS OF FRAMINGHAM MALES,1969,Article,WOS:A1969C991400005,Yes,BODY WEIGHT|HEIGHT,CHD,BODY WEIGHT,,,,,,,,BF,2,7,Yes,1,Blood pressure and Unspecified CHD 
150,HOOD B, ACTA MED SCAND, V185, P241,,MYOCARDIAL INFARCTION IN EARLY AGE .3. CORONARY RISK FACTORS AND THEIR DEFICIENT CONTROL,1969,Article,WOS:A1969D297400001,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,S,,,,2,3,Yes,1,Blood pressure and Unspecified CHD 
151,MENOTTI A, CARDIOLOGIA, V54, P119, 10.1159/000166247,HABITUAL PHYSICAL ACTIVITY AND MYOCARDIAL INFARCTION,1969,Article,WOS:A1969F779800005,Yes,EXERCISE,CHD,EXERCISE,SC,BP,,,,,,BF,2,1,Yes,5,Physical activity 
152,NAISMITH DJ, P NUTR SOC, V28, A12,,INFLUENCE OF COFFEE DRINKING ON PLASMA LIPIDS AND FASTING BLOOD GLUCOSE IN HEALTHY HUMAN VOLUNTEERS,1969,Meeting Abstract,WOS:A1969D188300037,Yes,CAFFEINE,BLOOD LIPIDS|BLOOD GLUCOSE,CAFFEINE|BLOOD LIPIDS,,,C,,,,,,2,2,Yes,2,Caffeine 
153,THOMAS CB, B NEW YORK ACAD MED, V45, P831,,DEVELOPMENTAL PATTERNS IN HYPERTENSIVE CARDIOVASCULAR DISEASE - FACT OR FICTION,1969,Article,WOS:A1969E097500003,Yes,UNSPECIFIED,CHD|HYPERTENSION,HYPERTENSION,,BP,,,,,,,2,3,Yes,7,Psychosocial
154,BAKER AB, CIRCULATION, V39, P701, 10.1161/01.CIR.39.5.701,HYPERTENSION AND CEREBRAL ATHEROSCLEROSIS,1969,Article,WOS:A1969D379700015,Yes,HYPERTENSION,STROKE,HYPERTENSION,,BP,,,,,,,1,1,Yes,1,Blood pressure and Unspecified CHD 
155,HIGGINS ITT, J CHRON DIS, V22, P165, 10.1016/0021-9681(69)90057-5,"CORONARY DISEASE IN MINING COMMUNITIES IN MARION COUNTY, WEST VIRGINIA",1969,Article,WOS:A1969D943500004,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,,,,BF,1,3,Yes,0,Serum cholesterol and Unspecified CHD 
156,PARKES CM, BMJ-BRIT MED J, V1, P740, 10.1136/BMJ.1.5646.740,BROKEN HEART - A STATISTICAL STUDY OF INCREASED MORTALITY AMONG WIDOWERS,1969,Article,WOS:A1969C815100008,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,C,D,S,,,,1,2,Yes,1,Blood pressure and Unspecified CHD 
157,KURUCZ RL, RES QUART, V40, P115, 10.1080/10671188.1969.10616651,CONSTRUCTION OF A SUBMAXIMAL CARDIOVASCULAR STEP TEST,1969,Article,WOS:A1969Y404800018,Yes,METHOD,CHD,Unspecified CHD,,,,,,,PA,,0,2,Yes,0,Serum cholesterol and Unspecified CHD 
158,SALES SM, ADMIN SCI QUART, V14, P325, 10.2307/2391126,ORGANIZATIONAL ROLE AS A RISK FACTOR IN CORONARY DISEASE,1969,Article,WOS:A1969Y576100001,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,SC,,,,,,,,0,2,Yes,0,Serum cholesterol and Unspecified CHD 
159,THOMAS CB, JOHNS HOPKINS MED J, V125, P276,,SUICIDE AMONG US . CAN WE LEARN TO PREVENT IT,1969,Article,WOS:A1969F380200007,Inaccessible,,,,,,,,,,,,1,5,Yes,7,Psychosocial
160,ABIAKA MDS, J NUTR DIET, V6, P343,,DIETARY SUCROSE AND CARDIOVASCULAR DISEASE - A REVIEW,1969,Review,WOS:A1969E969800012,Inaccessible,,,,,,,,,,,,0,2,Yes,2,Caffeine 
161,KOHN RM, ISRAEL J MED SCI, V5, P683,,IDENTIFYING CORONARY PRONE FAMILIES BY SCREENING OF SCHOOL POPULATIONS,1969,Article,WOS:A1969D750600050,Inaccessible,,,,,,,,,,,,0,3,Yes,0,Serum cholesterol and Unspecified CHD 
162,SHAH VV, ISRAEL J MED SCI, V5, P680,,OBSERVATIONS ON PHYSICAL CHARACTERISTICS IN CORONARY HEART DISEASE - AN ANALYSIS OF 75 CASES,1969,Article,WOS:A1969D750600049,Inaccessible,,,,,,,,,,,,0,1,No,,
163,WEITZMAN HA, NEW YORK STATE J MED, V69, P436,,PRIMARY LIPID DISORDERS - CLINICOPATHOLOGIC CORRELATIONS,1969,Review,WOS:A1969C992500006,Inaccessible,,,,,,,,,,,,0,2,Yes,1,Blood pressure and Unspecified CHD 
164,SHAFFER CF, AM J CLIN NUTR, V23, P27,,ASCORBIC ACID AND ATHEROSCLEROSIS,1970,Article,WOS:A1970F372900008,Error,,,,,,,,,,,,0,1,No,,
165,SLABY A, SB LEK, V72, P124,,PREVALENCE OF HYPERTENSION AND BLOOD PRESSURE CHANGES AFTER 5 YEARS AS RELATED TO ATHEROSCLEROSIS IN A RURAL POPULATION,1970,Article,WOS:A1970G399600003,Foreign,,,,,,,,,,,,0,6,Yes,1,Blood pressure and Unspecified CHD 
166,KEYS A, CIRCULATION, V41, I1,,CORONARY HEART DISEASE IN 7 COUNTRIES,1970,Article,WOS:A1970F982800001,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,52,5,Yes,0,Serum cholesterol and Unspecified CHD 
167,[ANONYMOUS], CIRCULATION, V42, A55,,PRIMARY PREVENTION OF ATHEROSCLEROTIC DISEASES,1970,Article,WOS:A1970I003400024,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,C,,S,,,,20,7,Yes,0,Serum cholesterol and Unspecified CHD 
168,MASIRONI R, B WORLD HEALTH ORGAN, V42, P103,,DIETARY FACTORS AND CORONARY HEART DISEASE,1970,Article,WOS:A1970F994700009,Yes,DIET,CHD,DIET,,,,D,,,,,10,11,Yes,3,Diet 
169,NAISMITH DJ, NUTR METAB, V12, P144,,"EFFECT IN VOLUNTEERS OF COFFEE AND DECAFFEINATED COFFEE ON BLOOD GLUCOSE, INSULIN, PLASMA LIPIDS AND SOME FACTORS INVOLVED IN BLOOD CLOTTING",1970,Article,WOS:A1970H722400003,Yes,CAFFEINE,BLOOD LIPIDS|BLOOD GLUCOSE|OTHER BLOOD,CAFFEINE|BLOOD LIPIDS,,,C,,,,,,7,6,Yes,2,Caffeine 
170,DAYTON S, ANN INTERN MED, V72, P97, 10.7326/0003-4819-72-1-97,"CHOLESTEROL, ATHEROSCLEROSIS, ISCHEMIC HEART DISEASE, AND STROKE",1970,Discussion,WOS:A1970F110900016,Yes,BLOOD LIPIDS,CHD|STROKE,BLOOD LIPIDS,SC,,,,,,,,6,6,Yes,0,Serum cholesterol and Unspecified CHD 
171,SIMBORG DW, J CHRON DIS, V22, P515, 10.1016/0021-9681(70)90031-7,STATUS OF RISK FACTORS AND CORONARY HEART DISEASE,1970,Review,WOS:A1970F276600002,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,BF,5,16,Yes,1,Blood pressure and Unspecified CHD 
172,DUNN JP, AM J MED SCI, V259, P309, 10.1097/00000441-197005000-00002,"RISK FACTORS IN CORONARY ARTERY DISEASE, HYPERTENSION AND DIABETES",1970,Article,WOS:A1970G419400002,Yes,UNSPECIFIED,CHD|HYPERTENSION|DIABETES,HYPERTENSION,SC,BP,,,,,,,4,1,Yes,1,Blood pressure and Unspecified CHD 
173,MATSUMOTO YS, MILBANK FUND Q, V48, P9, 10.2307/3349286,SOCIAL STRESS AND CORONARY HEART DISEASE IN JAPAN - HYPOTHESIS,1970,Article,WOS:A1970Y165900001,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,SC,,,D,,,,,2,3,Yes,7,Psychosocial
174,MALHOTRA SL, AM J CLIN NUTR, V23, P1353,,DIETARY FACTORS CAUSING HYPERTENSION IN INDIA,1970,Article,WOS:A1970H590400013,Yes,DIET,HYPERTENSION,DIET|HYPERTENSION,,,,D,,,,,1,2,Yes,1,Blood pressure and Unspecified CHD 
